Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2021-11-23 00:59:35",1,1,"l Jordo l",236aeb30-1087-4f13-ad16-38cb208064f7,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1103,1103,,,,,,,,,,,,,6,,,,,Loss,53.06,4333,3780,360,191,169,1.14,3.00,16,,,,,,,,14,3,0,0,3,0,0,,,,0,2,584
"2021-11-23 01:11:21",1,1,"l Jordo l",f1c2b4a8-f0d5-4461-9816-d302b5f5273a,Streets,Slayer,"Ranked Arena",CrossPlay,Open,1103,1106,,,,,,,,,,,,,4,,,,,Win,42.37,3342,4016,413,175,238,0.57,-3.00,8,,,,,,,,14,9,0,0,2,0,0,,,,0,3,579
"2021-11-23 01:22:50",1,1,"l Jordo l",3d422b24-6de6-486d-ab37-df757f329397,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1106,1106,,,,,,,,,,,,,7,,,,,Loss,49.71,5998,5214,686,341,345,1.64,11.33,23,,,,,,,,14,7,0,0,5,0,0,,,,0,7,762
"2021-11-23 01:37:06",1,1,"l Jordo l",d2c576b4-7f8e-441d-853d-dfa37c30c4f9,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1106,1106,,,,,,,,,,,,,5,,,,,Loss,47.14,3016,3913,350,165,185,0.60,-5.33,9,,,,,,,,15,2,0,0,3,0,0,,,,0,3,529
"2021-11-23 01:48:26",1,1,"l Jordo l",5ec96d15-db12-46fd-aa4d-e8575465f680,Streets,Slayer,"Ranked Arena",CrossPlay,Open,1106,1106,,,,,,,,,,,,,8,,,,,Loss,47.77,2463,3514,314,150,164,0.38,-7.00,5,,,,,,,,13,3,0,0,2,0,0,,,,0,1,434
"2021-11-23 01:59:24",1,1,"l Jordo l",487c0f1e-d6b9-4a4f-b33e-c98a9e7664b5,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1106,1106,,,,,,,,,,,,,7,,,,,Loss,50.81,7208,6856,742,377,365,1.30,10.67,30,,,,,,,,23,11,0,0,6,0,0,,,,0,7,1004
"2021-11-23 02:17:54",1,1,"l Jordo l",9d63bae6-20c2-4c3d-af7d-fdcf97bf29c2,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1106,1106,,,,,,,,,,,,,5,,,,,Loss,45.81,7173,6554,740,339,401,1.33,10.33,24,,,,,,,,18,13,0,0,5,0,0,,,,0,6,893
"2021-11-23 02:34:15",1,1,"l Jordo l",e5c55296-b09a-4a87-99cd-7b15cc6ad5f3,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,1106,1106,,,,,,,,,,,,,5,,,,,Left,0,0,0,0,0,0,0.00,0.00,0,,,,,,,,0,0,0,0,0,0,0,,,,0,0,78
"2021-11-23 02:36:37",1,1,"l Jordo l",7e234959-8129-4832-8593-163c72af251a,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1106,1109,,,,,,,,,,,,,1,,,,,Win,53.02,2811,1861,364,193,171,2.00,6.67,10,,,,,,,,5,5,0,0,4,0,0,,,,0,3,441
"2021-11-23 02:45:34",1,1,"l Jordo l",c3402424-c22d-44a7-a140-b48a55e8bb64,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1109,1109,,,,,,,,,,,,,5,,,,,Loss,58.1,6169,5875,642,373,269,1.15,6.33,23,,,,,,,,20,10,0,0,4,0,0,,,,0,7,702
